"Fisher","Month","Year","Days_Fished","Total_Income","Total_Catch"
"F136","August","2013",9,436350,275
"F136","September","2013",5,401100,329
"F136","October","2013",16,1704000,1300
"F136","November","2013",15,2085400,1571
"F136","December","2013",1,7500,1
"F137","October","2013",2,391500,314
"F137","October","2015",1,211500,31
"F137","November","2013",1,136750,110
"F138","January","2022",6,8423000,1326
"F138","February","2022",6,8946500,1588
"F138","March","2022",4,6335500,1044
"F138","April","2022",3,3551000,618
"F138","May","2022",3,4697500,980
"F138","June","2022",3,3614500,638
"F139","March","2013",4,380900,179
"F139","April","2013",8,898412.593921235,580
"F139","May","2013",7,580881.718957605,465
"F139","June","2013",8,752600,481
"F139","July","2013",3,375550,538
"F139","August","2013",3,278450,114
"F139","September","2013",5,340850,185
"F139","October","2013",7,506350,410
"F139","November","2013",11,1514350,1245
"F139","December","2013",2,49000,6
"F140","December","2013",1,12500,1
"F141","May","2023",1,395191.225238095,77
"F142","June","2013",1,44500,6
"F143","March","2012",1,33000,44
"F144","January","2016",1,195000,251
"F144","January","2017",3,416350,332.25
"F144","January","2018",1,99125,8.75
"F144","February","2016",5,540400,533
"F144","March","2016",9,906825,952.75
"F144","April","2016",4,288000,332.5
"F144","May","2013",1,68500,53
"F144","May","2016",18,1756837.5,1872.75
"F144","June","2016",15,1686600,1544.65
"F144","July","2015",2,192450,192.5
"F144","July","2016",8,1038475,805
"F144","July","2017",13,1871050,1064.75
"F144","August","2015",3,578600,605.5
"F144","August","2016",3,763375,769.5
"F144","August","2017",2,286700,168.5
"F144","September","2015",5,1197900,535
"F144","September","2016",15,2745200,1766.5
"F144","October","2015",2,315112.630278099,278.25
"F144","October","2016",1,94250,102.5
"F144","October","2017",4,430600,378.5
"F144","November","2013",1,62500,50
"F144","November","2015",10,1115125,1118
"F144","November","2016",6,638300,641.75
"F144","November","2017",1,62100,61.75
"F144","December","2016",1,62250,57.5
"F145","April","2023",1,96650.203968254,44
"F146","January","2012",6,1150900,1219
"F146","January","2017",1,148266.666666667,99.4
"F146","February","2012",4,453950,478
"F146","February","2023",2,564589.285714286,18
"F146","March","2012",3,467826.851851852,569
"F146","March","2013",1,82500,55
"F146","April","2012",8,1414489.83220637,1378
"F146","April","2013",1,9000,6
"F146","April","2017",1,208375,45.25
"F146","April","2023",1,158467.604166667,86
"F146","May","2012",2,254900,211
"F146","May","2013",1,97500,65
"F146","June","2016",1,247250,235.5
"F146","July","2012",4,573550,689
"F146","July","2023",1,221612.66422619,109
"F146","August","2012",4,867200,1080
"F146","September","2012",11,1714850,1828
"F146","September","2013",1,10000,1
"F146","October","2012",10,1789750,1643
"F146","November","2012",3,674700,602
"F146","November","2016",3,1664000,1709
"F147","November","2012",1,33000,21
"F148","June","2013",1,196500,68
"F149","January","2013",4,543375,359.5
"F149","January","2015",2,431950,361
"F149","January","2016",4,589950,476.5
"F149","January","2017",9,2269866.66666667,1254.4
"F149","January","2023",15,7300904.15189434,2164.5
"F149","February","2012",3,200400,270.5
"F149","February","2016",5,1488375,1636
"F149","February","2017",4,767875,474.75
"F149","February","2023",11,2431347.8058459,680.75
"F149","March","2016",7,1598300,1037.25
"F149","March","2017",5,1088275,634.5
"F149","March","2023",11,3937173.87321695,984.25
"F149","April","2013",1,81500,43
"F149","April","2016",12,2059000,1461
"F149","April","2017",1,1783500,1164
"F149","April","2022",1,595842.596390484,284
"F149","April","2023",10,3319307.79843436,1790
"F149","May","2012",8,675843.264601973,469.5
"F149","May","2013",9,1719444.49000807,818
"F149","May","2016",1,113750,67
"F149","May","2017",1,1105500,695
"F149","May","2022",1,662323.058358929,272
"F149","May","2023",13,4960173.20015064,1821
"F149","June","2012",7,949600,1381
"F149","June","2013",5,430412.5,285.125
"F149","June","2016",7,2340850,1889.5
"F149","June","2017",3,602250,388
"F149","June","2022",1,258250,64
"F149","June","2023",19,6173347.17722826,3865
"F149","July","2013",2,252000,139
"F149","July","2015",5,552500,374.5
"F149","July","2016",2,380500,225
"F149","July","2017",4,791537.214504165,375.5
"F149","July","2023",6,3620225.92092184,1601
"F149","August","2013",2,90900,82
"F149","August","2015",8,1135950,972
"F149","August","2016",8,7210200,4094
"F149","August","2023",2,788575.768064516,293
"F149","September","2012",2,131250,145
"F149","September","2015",1,141800,106
"F149","September","2016",19,10892650,6840
"F149","September","2023",6,1863336.46044547,596.5
"F149","October","2012",8,1715000,1024
"F149","October","2013",6,1221600,1412
"F149","October","2015",5,818500,762
"F149","October","2016",2,365500,182
"F149","October","2023",16,7190575.40299388,3140.5
"F149","November","2012",11,1468700,1192
"F149","November","2013",2,416250,383
"F149","November","2015",10,1893300,1423
"F149","November","2016",6,1348375,948
"F149","November","2017",1,210000,91
"F149","November","2022",1,372297.169811321,219
"F149","November","2023",15,3351744.23835125,1681
"F149","December","2013",1,5000,5
"F149","December","2015",4,933750,944.25
"F149","December","2016",6,1983000,1335
"F149","December","2022",9,5517562.47257569,1410
"F149","December","2023",26,7856619.28263258,4348
"F150","August","2015",2,427500,412
"F150","October","2015",1,76000,116
"F151","May","2012",2,40250,54
"F151","August","2012",1,30500,22
"F151","September","2013",1,10000,1
"F151","October","2012",8,455700,238
"F151","November","2012",7,654150,671
"F152","January","2023",1,18687.42,12
"F152","June","2023",1,9334.66666666667,3
"F153","March","2013",1,8500,1
"F153","May","2013",3,253760,188
"F153","May","2017",1,258000,117
"F153","June","2013",7,920500,494
"F153","June","2017",1,83500,41
"F153","July","2013",4,603500,346
"F153","July","2017",2,432500,155
"F153","July","2018",1,177000,89
"F153","August","2013",3,332000,192
"F153","September","2012",7,926500,489
"F153","September","2013",5,633000,407
"F153","October","2012",10,1124000,619
"F153","October","2013",9,948500,483
"F153","November","2012",9,1459500,766
"F153","November","2013",8,807500,385
"F153","December","2012",6,1036500,595
"F153","December","2013",5,728500,340
"F153","December","2022",1,126641.509433962,55
"F154","March","2013",3,113750,47
"F154","April","2013",2,63373.0492511288,39
"F154","May","2013",7,390384.101382489,151
"F154","June","2013",4,185200,59
"F154","July","2013",3,213100,113
"F154","August","2013",2,114500,73
"F154","September","2013",3,248500,134
"F154","October","2013",9,584650,323
"F154","November","2013",11,1106400,695
"F154","December","2013",1,4500,2
"F155","May","2013",2,56100,37
"F156","January","2012",2,73500,42.75
"F156","January","2016",1,195000,251
"F156","January","2017",3,416350,332.25
"F156","January","2018",1,99125,8.75
"F156","February","2012",2,212050,207.25
"F156","February","2016",5,540400,533
"F156","March","2012",2,302150,306
"F156","March","2016",9,906825,952.75
"F156","March","2019",3,944000,379
"F156","April","2012",10,954235.868453914,1105.25
"F156","April","2016",4,288000,332.5
"F156","April","2019",7,1444875,819.25
"F156","May","2012",18,3223815.12291485,1909.41666666667
"F156","May","2013",3,218725,186.25
"F156","May","2016",18,1756837.5,1872.75
"F156","May","2019",11,3726250,1614
"F156","June","2012",4,323362.5,455.5
"F156","June","2016",15,1686600,1544.65
"F156","June","2019",20,4908125,2513.25
"F156","July","2012",6,857200,731.5
"F156","July","2015",2,192450,192.5
"F156","July","2016",8,1038475,805
"F156","July","2017",13,1871050,1064.75
"F156","July","2019",12,2687750,1613
"F156","August","2012",6,701500,796.5
"F156","August","2015",3,578600,605.5
"F156","August","2016",9,1659350,1433.5
"F156","August","2017",2,286700,168.5
"F156","September","2012",14,1919337.5,2056.5
"F156","September","2013",1,14000,3.5
"F156","September","2015",5,1197900,535
"F156","September","2016",15,2745200,1766.5
"F156","September","2017",3,451500,313.25
"F156","October","2012",16,2349325,2284.25
"F156","October","2015",2,315112.630278099,278.25
"F156","October","2016",1,94250,102.5
"F156","October","2017",4,430600,378.5
"F156","November","2012",6,394775,325
"F156","November","2013",1,62500,50
"F156","November","2015",10,1115125,1118
"F156","November","2016",6,638300,641.75
"F156","November","2017",1,62100,61.75
"F156","December","2016",1,62250,57.5
"F157","January","2023",1,95521.6790322581,46
"F157","December","2022",2,471618.048533873,245.5
"F158","January","2012",1,85050,68
"F158","February","2012",2,135300,122
"F158","March","2012",3,413172.68081761,386
"F158","April","2012",3,277373.430127742,213
"F158","April","2013",1,180000,120
"F158","May","2012",5,575575,658.5
"F158","August","2012",1,288650,370
"F158","September","2012",4,449250,1059
"F158","September","2013",1,25000,3
"F158","October","2012",4,386350,281
"F158","November","2012",1,197700,199
"F159","January","2012",2,337450,417
"F159","January","2013",1,139125,125.5
"F159","January","2017",2,263300,174
"F159","February","2012",2,166200,119
"F159","February","2017",1,148500,26
"F159","March","2012",4,282664.343563512,341
"F159","April","2012",1,23766.3398692811,15
"F159","April","2017",1,31000,2.25
"F159","May","2012",6,651581.72388929,703
"F159","May","2013",1,390500,399
"F159","June","2012",8,612500,380
"F159","June","2013",3,303912.5,206.125
"F159","June","2016",4,236750,146
"F159","July","2013",3,292199.386610585,408.5
"F159","July","2023",1,176500,52
"F159","August","2013",4,518400,412
"F159","August","2017",1,125750,16
"F159","September","2012",1,108500,159
"F159","September","2016",3,413000,74
"F159","September","2017",1,62500,26
"F159","October","2012",2,281250,277
"F159","October","2013",3,760250,872
"F159","October","2017",1,82250,17
"F160","August","2013",1,1e+05,15
"F161","September","2017",1,58750,24
"F161","September","2023",5,168432.338528025,78
"F161","October","2017",1,67750,43.25
"F161","October","2023",5,232000,96
"F161","November","2023",10,551000,224
"F161","December","2023",1,30000,20
"F162","January","2012",2,73750,86
"F162","February","2013",1,10000,10
"F162","February","2016",1,16250,13
"F162","February","2019",16,1454500,1013
"F162","March","2012",1,45000,30
"F162","March","2016",6,239100,165
"F162","March","2019",12,1174000,725
"F162","April","2013",5,364114.21386986,371
"F162","April","2016",12,573700,442
"F162","April","2019",13,1170000,777
"F162","May","2013",6,268219.76744186,292.75
"F162","May","2019",14,1380750,957
"F162","June","2019",15,1416100,790
"F162","July","2013",1,43350,19
"F162","July","2019",9,831500,453
"F162","August","2012",1,96433.6553323029,54
"F162","September","2016",8,480750,292
"F162","October","2016",3,262550,122
"F162","November","2013",2,63250,35
"F163","February","2013",3,429987.5,189.7
"F163","October","2012",1,43200,29
"F165","April","2013",9,647491.264495636,636
"F165","May","2013",3,261050,249
"F165","June","2013",10,612550,556
"F165","July","2013",16,1064055.30174021,1031
"F165","August","2013",12,932650,622
"F165","September","2013",6,402400,367
"F165","October","2013",22,1986850,1851
"F165","November","2013",13,1873900,1998
"F166","March","2012",1,172500,220
"F167","February","2012",3,97650,81
"F167","May","2013",2,133750,72
"F167","June","2013",7,659800,471
"F167","July","2013",1,2998.7732211707,1
"F167","October","2016",4,430400,262
"F168","January","2023",1,8000,8
"F168","April","2023",1,97064.1910714286,55
"F168","July","2023",1,6125,0.5
"F168","September","2023",1,3500,3.5
"F168","October","2023",1,500,0.5
"F168","December","2022",1,238850.543478261,133.75
"F170","May","2013",1,7500,2
"F170","October","2013",8,327750,51
"F170","November","2013",2,70000,9
"F170","December","2013",1,5000,1
"F169","April","2013",1,31500,15
"F169","May","2013",4,126000,32
"F169","October","2013",5,284500,92
"F169","November","2013",4,281850,99
"F171","January","2012",2,157875,93.25
"F171","January","2013",2,177800,133
"F171","January","2015",3,697450,523
"F171","January","2016",10,1900400,1277
"F171","January","2017",2,396000,153
"F171","February","2013",2,93304.1666666667,83.3166666666667
"F171","February","2016",3,348300,336
"F171","February","2017",3,339550,232
"F171","March","2012",4,496725,340
"F171","March","2016",8,1223450,921
"F171","April","2012",5,647466.218863083,445.25
"F171","April","2013",7,1035515.05572604,812
"F171","April","2016",8,862200,670
"F171","May","2013",18,2292276.24631564,1670
"F171","May","2016",1,182000,91
"F171","June","2013",5,967450,593
"F171","June","2016",12,2636100,1124
"F171","July","2013",9,1468550,924
"F171","July","2015",4,1690250,834
"F171","August","2013",12,2197450,1380
"F171","August","2015",6,1707500,320.5
"F171","September","2015",5,2358000,711
"F171","September","2016",7,4196250,1152
"F171","September","2017",1,118500,47
"F171","October","2012",11,2114506.47137221,1300
"F171","October","2015",10,6486650,1659
"F171","October","2016",2,221450,137
"F171","October","2017",1,153700,137
"F171","November","2012",4,769100,595
"F171","November","2013",8,1458700,712
"F171","November","2015",21,4365100,2193
"F171","November","2016",5,726550,476
"F171","November","2017",1,159862.925727912,105
"F171","December","2015",3,352900,244
"F171","December","2016",4,514000,384
"F171","December","2017",1,116418.963149903,105
"F172","January","2012",2,144375,187
"F172","January","2013",6,393500,240
"F172","January","2016",2,101000,72
"F172","January","2017",7,535125,370.95
"F172","January","2018",6,779750,369.25
"F172","January","2019",12,1601500,914
"F172","February","2013",12,706450,420.733333333333
"F172","February","2016",7,1008500,937
"F172","February","2018",5,761950,305
"F172","February","2019",18,2509750,1482
"F172","March","2012",1,95000,65
"F172","March","2013",1,102000,68
"F172","March","2016",14,1319000,1064
"F172","March","2017",3,371250,123
"F172","March","2018",13,1106100,489
"F172","March","2019",8,997500,604
"F172","March","2023",1,62500,5
"F172","April","2012",2,82239.4513137559,24
"F172","April","2013",3,353764.785436817,334
"F172","April","2016",17,1821250,1360
"F172","April","2017",1,1456000,524
"F172","April","2018",22,2263350,1090
"F172","April","2019",17,2226250,1358
"F172","May","2012",2,96250,56
"F172","May","2013",3,292750,223
"F172","May","2016",13,1631600,1134
"F172","May","2017",1,71000,46
"F172","May","2018",12,1881500,982
"F172","May","2019",11,1504750,902
"F172","June","2012",10,608250,459
"F172","June","2013",1,105750,47
"F172","June","2016",1,238750,163
"F172","June","2017",1,148800,43
"F172","June","2018",23,3188000,2046
"F172","June","2019",19,2502500,1325
"F172","July","2015",1,71500,49
"F172","July","2016",2,314250,131
"F172","July","2018",16,2350000,1379
"F172","July","2019",10,1627250,863
"F172","August","2012",4,290987.133187413,266
"F172","August","2016",6,847500,419
"F172","August","2017",3,188500,89
"F172","August","2018",14,2142750,1323
"F172","September","2012",1,20250,16
"F172","September","2016",4,613500,369
"F172","September","2017",2,167150,125
"F172","September","2018",23,3004150,1897
"F172","October","2016",12,2200000,1140
"F172","October","2017",10,2040550,1079
"F172","October","2018",15,2124500,1291
"F172","November","2012",4,255150,245
"F172","November","2016",5,731050,292
"F172","November","2017",7,1688000,800
"F172","November","2018",12,1865750,1071
"F172","November","2023",10,461000,229
"F172","December","2012",4,453700,278
"F172","December","2016",5,1180000,552
"F172","December","2018",5,624000,368
"F172","December","2023",1,35000,10
"F173","January","2012",3,458800,398
"F173","February","2012",5,364700,338
"F173","February","2013",4,541000,332
"F173","March","2012",2,264000,176
"F173","March","2013",4,537000,358
"F173","April","2012",2,444500,264
"F173","April","2016",1,122500,28
"F173","May","2013",3,512750,620
"F173","May","2017",1,759500,713
"F173","May","2018",1,148500,66
"F173","June","2017",1,340000,220
"F173","July","2016",1,197750,136
"F173","August","2012",1,140100,197
"F173","August","2013",5,1021000,590
"F173","September","2012",3,260600,183
"F173","September","2013",1,656250,375
"F173","October","2012",6,803750,750
"F173","October","2013",2,1041250,595
"F173","November","2012",1,92350,68
"F173","November","2013",1,45000,30
"F173","November","2016",2,1100500,373
"F011","June","2013",1,12500,1
"F033","September","2013",14,5081500,1953
"F051","June","2018",1,90000,35.5
"F081","April","2013",1,12500,1
"F084","August","2016",1,540000,223
"F084","October","2012",1,147500,40
"F084","November","2012",1,179400,150
"F098","March","2023",1,201950.463333333,71
"F111","June","2012",1,82750,155
"F164","June","2013",1,3000,1
"F0NA","August","2023",1,NA,NA
"F0NA","September","2013",1,NA,NA
"F0NA","September","2018",1,NA,NA
