"Species","Year","Total_Catch_Yr","Total_Income_Yr","Total_Fishing_Trips_Yr","CPUE"
"Heniochus acuminatus","2013",1661,11255800.921659,2094,0.793218720152818
"Heniochus acuminatus","2022",129,2795000,271,0.476014760147601
"Heniochus acuminatus","2023",15,262500,994,0.0150905432595573
"Heniochus chrysostomus","2022",5,42500,71,0.0704225352112676
"Heniochus monoceros","2015",88,577000,727,0.121045392022008
"Heniochus monoceros","2016",1103,6739000,2087,0.528509822712027
"Heniochus monoceros","2017",78,771000,1130,0.0690265486725664
"Heniochus monoceros","2018",124,1222000,954,0.129979035639413
"Heniochus monoceros","2019",41,208000,744,0.0551075268817204
"Heniochus monoceros","2023",10,115000,734,0.0136239782016349
"Heniochus pleurotaenia","2012",24,47500,755,0.0317880794701987
"Heniochus singularius","2012",179,309000,848,0.211084905660377
"Heniochus singularius","2022",1,17500,43,0.0232558139534884
"Heniochus varius","2012",18,30166.6666666667,1300,0.0138461538461538
"Heniochus varius","2013",88,131750,2090,0.0421052631578947
"Heniochus varius","2016",500,704300,2087,0.239578342117873
"Heniochus varius","2017",109,194875,1130,0.0964601769911504
"Heniochus varius","2018",179,318500,1423,0.125790583274772
"Heniochus varius","2019",197,302000,842,0.23396674584323
"Heniochus varius","2022",59,398000,250,0.236
"Heniochus varius","2023",30,57000,1262,0.0237717908082409
"Heteractis malu","2012",1,6000,53,0.0188679245283019
"Heteroconger hassi","2022",29,261000,30,0.966666666666667
"Histrio histrio","2012",4,10000,311,0.0128617363344051
"Histrio histrio","2022",7,35000,140,0.05
"Hokpistognathus randalli","2022",1,2500,43,0.0232558139534884
"Hokpistognathus randalli","2023",2,5000,172,0.0116279069767442
"Hologymnosus annulatus","2013",7,13000,565,0.0123893805309735
"Hologymnosus doliatus","2022",4,10000,112,0.0357142857142857
"Hologymnosus doliatus","2023",1,2500,137,0.0072992700729927
"Hoplolatilus chlupatyi","2012",3,2250,189,0.0158730158730159
"Hoplolatilus luteus","2022",5,75000,30,0.166666666666667
"Hoplolatilus marcosi","2012",52,81355.7692307692,848,0.0613207547169811
"Hymenocera elegans","2022",261,5223000,311,0.839228295819936
"Hymenocera elegans","2023",7,59500,601,0.0116472545757072
"Hymenocera picta","2012",313,987585.271317829,1098,0.285063752276867
"Iniistius pavo","2012",98,236200,745,0.131543624161074
"Iniistius pavo","2013",303,795076.293103448,2171,0.139567019806541
"Iniistius pavo","2016",282,816450,2087,0.13512218495448
"Iniistius pavo","2018",1,3000,196,0.00510204081632653
"Inimicus didactylus","2022",1,5000,30,0.0333333333333333
"Jorunna funebris","2022",1,2500,43,0.0232558139534884
"Koumansetta hectori","2022",56,224000,210,0.266666666666667
"Koumansetta rainfordi","2022",822,3288000,268,3.06716417910448
"Koumansetta rainfordi","2023",4,16000,533,0.0075046904315197
"Labrichthys Unilineatus","2022",23,71000,137,0.167883211678832
"Labrichthys Unilineatus","2023",4,13500,570,0.00701754385964912
"Labrichthys unilineatus","2015",2,6000,235,0.00851063829787234
"Labrichthys unilineatus","2016",169,164500,1757,0.0961866818440524
"Labrichthys unilineatus","2017",91,96500,1035,0.0879227053140097
"Labrichthys unilineatus","2018",85,105000,1373,0.0619082301529497
"Labrichthys unilineatus","2019",100,102000,764,0.130890052356021
"Labroides bicolor","2012",166,1151962.02531646,1572,0.10559796437659
"Labroides bicolor","2013",143,981123.456790123,2234,0.0640107430617726
"Labroides bicolor","2015",86,757000,727,0.118294360385144
"Labroides bicolor","2016",100,746700,2087,0.0479156684235745
"Labroides bicolor","2017",132,1183000,1130,0.116814159292035
"Labroides bicolor","2018",192,1709000,1423,0.134926212227688
"Labroides bicolor","2019",41,334000,842,0.0486935866983373
"Labroides bicolor","2022",92,1316627.90697674,347,0.265129682997118
"Labroides bicolor","2023",182,1605905.04032258,1525,0.119344262295082
"Labroides dimidiatus","2012",3219,2775870,1593,2.02071563088512
"Labroides dimidiatus","2013",5534,5077875,2234,2.47717099373321
"Labroides dimidiatus","2015",1640,1770527.23735409,727,2.25584594222834
"Labroides dimidiatus","2016",4830,4961200,2087,2.31432678485865
"Labroides dimidiatus","2017",2625,2821966.81818182,1130,2.32300884955752
"Labroides dimidiatus","2018",2742,2920572.18609023,1423,1.92691496837667
"Labroides dimidiatus","2019",1593,1940500,842,1.89192399049881
"Labroides dimidiatus","2022",3406,6812000,389,8.75578406169666
"Labroides dimidiatus","2023",4851,5925984.18,1525,3.18098360655738
"Labroides pectoralis","2012",404,405272.988505747,848,0.476415094339623
"Labroides pectoralis","2022",11,155000,177,0.0621468926553672
"Labroides pectoralis","2023",3,37500,282,0.0106382978723404
"Labroides rubrolabiatus","2012",19,93500,1186,0.0160202360876897
"Labroides rubrolabiatus","2013",7,35500,963,0.00726895119418484
"Labroides rubrolabiatus","2015",13,65500,442,0.0294117647058824
"Labroides rubrolabiatus","2016",21,116000,934,0.0224839400428266
"Labroides rubrolabiatus","2017",9,85000,474,0.0189873417721519
"Labroides rubrolabiatus","2018",23,152000,764,0.0301047120418848
"Labroides rubrolabiatus","2019",4,28000,228,0.0175438596491228
"Labroides rubrolabiatus","2023",4,20000,387,0.0103359173126615
"Labropsis alleni","2012",23,45000,771,0.0298313878080415
"Labropsis alleni","2013",14,15500,287,0.0487804878048781
"Labropsis alleni","2015",3,5000,299,0.0100334448160535
"Labropsis alleni","2016",20,26000,1144,0.0174825174825175
"Labropsis alleni","2017",56,117000,854,0.0655737704918033
"Labropsis alleni","2018",47,100500,943,0.0498409331919406
"Labropsis alleni","2019",3,6000,130,0.0230769230769231
"Labropsis alleni","2022",3,9000,82,0.0365853658536585
"Labropsis alleni","2023",5,15000,479,0.0104384133611691
"Lactoria cornuta","2012",7,30000,337,0.0207715133531157
"Lactoria cornuta","2013",47,231321.428571429,1837,0.0255851932498639
"Lactoria cornuta","2015",1,3500,142,0.00704225352112676
"Libia tesselata","2022",1,3000,30,0.0333333333333333
"Lutjanus sebae","2023",1,20000,176,0.00568181818181818
"Lysmata amboinensis","2012",3824,15619757.3529412,838,4.56324582338902
"Lysmata amboinensis","2013",6129,31331418.2662539,2234,2.74350940017905
"Lysmata amboinensis","2016",10678,78584500,2087,5.11643507426929
"Lysmata amboinensis","2018",4771,49234600,1423,3.35277582572031
"Lysmata amboinensis","2019",1725,18981000,842,2.04869358669834
"Lysmata amboinensis","2022",636,8638000,389,1.63496143958869
"Lysmata amboinensis","2023",2240,14427000,1525,1.46885245901639
"Lysmata debelius","2012",3216,6115550,990,3.24848484848485
"Lysmata debelius","2013",25,159200,1840,0.0135869565217391
"Lysmata debelius","2016",23,180000,1227,0.0187449062754686
"Lysmata debelius","2018",11,150000,621,0.0177133655394525
"Lysmata debelius","2019",10,144000,528,0.0189393939393939
"Lysmata debelius","2023",4,60000,628,0.00636942675159236
"Macolor macularis","2012",58,774000,801,0.0724094881398252
"Macolor niger","2012",9,19000,824,0.0109223300970874
"Macolor niger","2015",1,2500,142,0.00704225352112676
"Macolor niger","2016",41,132500,1329,0.0308502633559067
"Macolor niger","2017",24,100500,1008,0.0238095238095238
"Macolor niger","2018",11,57000,854,0.0128805620608899
"Macolor niger","2019",29,145000,842,0.0344418052256532
"Macolor niger","2022",7,49000,209,0.0334928229665072
"Macolor niger","2023",9,247700,995,0.00904522613065327
"Macropharyngodon meleagris","2012",2099,2111346.37681159,1593,1.31763967357188
"Macropharyngodon meleagris","2013",2176,2338125.65789474,2234,0.974037600716204
"Macropharyngodon meleagris","2015",1263,1567165.2173913,727,1.7372764786795
"Macropharyngodon meleagris","2016",4189,4652100,2087,2.00718735026354
"Macropharyngodon meleagris","2017",1106,1486603.92561983,1130,0.978761061946903
"Macropharyngodon meleagris","2018",2016,2406000,1423,1.41672522839072
"Macropharyngodon meleagris","2019",911,990500,842,1.08194774346793
"Macropharyngodon meleagris","2022",143,214500,201,0.711442786069652
"Macropharyngodon meleagris","2023",1911,2866500,1525,1.25311475409836
"Macropharyngodon negrosensis","2012",222,262666.666666667,1593,0.139359698681733
"Macropharyngodon negrosensis","2013",68,87000,2058,0.033041788143829
"Macropharyngodon negrosensis","2015",96,132500,727,0.132049518569464
"Macropharyngodon negrosensis","2016",236,257000,2087,0.113080977479636
"Macropharyngodon negrosensis","2017",202,266718.390804598,1130,0.178761061946903
"Macropharyngodon negrosensis","2018",318,415500,1423,0.223471539002108
"Macropharyngodon negrosensis","2019",35,41000,707,0.0495049504950495
"Macropharyngodon negrosensis","2022",108,305000,389,0.277634961439589
"Macropharyngodon negrosensis","2023",195,306000,1525,0.127868852459016
"Macropharyngodon ornatus","2022",304,963000,389,0.781491002570694
"Macropharyngodon ornatus","2023",252,756000,1525,0.165245901639344
"Malacanthus brevirostris","2012",4,6000,359,0.011142061281337
"Malacanthus brevirostris","2016",9,13500,959,0.00938477580813347
"Malacanthus brevirostris","2017",8,12000,366,0.0218579234972678
"Malacanthus brevirostris","2018",14,21500,643,0.0217729393468118
"Malacanthus latocittatus","2012",24,41750,848,0.0283018867924528
"Malacanthus latovittatus","2012",349,1248697.5,1456,0.239697802197802
"Malacanthus latovittatus","2013",38,71352.9411764706,2031,0.0187099950763171
"Malacanthus latovittatus","2015",16,24500,727,0.0220082530949106
"Malacanthus latovittatus","2016",286,561200,1957,0.146142054164538
"Malacanthus latovittatus","2017",7,15999,455,0.0153846153846154
"Malacanthus latovittatus","2018",54,111500,1057,0.0510879848628193
"Malacanthus latovittatus","2019",44,90000,842,0.0522565320665083
"Malacanthus latovittatus","2022",3,17000,60,0.05
"Malacanthus latovittatus","2023",6,31755.25,503,0.0119284294234592
"Meiacanthus atrodorsalis","2013",5,10000,276,0.0181159420289855
"Meiacanthus atrodorsalis","2022",249,919000,389,0.640102827763496
"Meiacanthus atrodorsalis","2023",131,395000,1525,0.0859016393442623
"Meiacanthus grammistes","2012",29,33000,863,0.033603707995365
"Meiacanthus grammistes","2013",176,116600,2031,0.086656819300837
"Meiacanthus grammistes","2015",29,58000,427,0.0679156908665105
"Meiacanthus grammistes","2016",318,334000,2087,0.152371825586967
"Meiacanthus grammistes","2017",58,61000,924,0.0627705627705628
"Meiacanthus grammistes","2018",110,124000,917,0.119956379498364
"Meiacanthus grammistes","2019",111,114000,485,0.228865979381443
"Meiacanthus grammistes","2022",129,387000,280,0.460714285714286
"Meiacanthus grammistes","2023",679,962750,1525,0.445245901639344
"Meiacanthus smithii","2012",10,15000,272,0.0367647058823529
"Meiacanthus smithii","2022",139,318500,310,0.448387096774194
"Meiacanthus smithii","2023",185,233750,1490,0.124161073825503
"Melichthys indicus","2012",48,379305.555555556,848,0.0566037735849057
"Melichthys indicus","2022",2,20000,30,0.0666666666666667
"Melichthys vidua","2012",71,210606.382978723,1456,0.0487637362637363
"Melichthys vidua","2013",117,434641.891891892,2171,0.0538922155688623
"Melichthys vidua","2015",6,33000,220,0.0272727272727273
"Melichthys vidua","2016",67,217000,1329,0.0504138449962378
"Melichthys vidua","2017",51,226000,856,0.0595794392523364
"Melichthys vidua","2018",48,168000,1016,0.047244094488189
"Melichthys vidua","2019",66,231000,764,0.0863874345549738
"Melichthys vidua","2022",24,240000,210,0.114285714285714
"Melichthys vidua","2023",43,99852.6153846154,1104,0.0389492753623188
"Monacanthus chinensis","2012",150,90250,801,0.187265917602996
"Monacanthus chinensis","2015",482,572000,727,0.662998624484182
"Monacanthus chinensis","2016",151,211750,1995,0.0756892230576441
"Monacanthus chinensis","2017",229,347937.5,1130,0.202654867256637
"Monacanthus chinensis","2018",101,244750,1219,0.0828547990155866
"Monacanthus chinensis","2019",1,2500,98,0.0102040816326531
"Monacanthus chinensis","2022",16,16000,143,0.111888111888112
"Monacanthus chinensis","2023",300,3e+05,1490,0.201342281879195
"Myripristis Sp.","2022",2,6000,41,0.0487804878048781
"Myripristis murdjan","2015",1,2500,99,0.0101010101010101
"Myripristis murdjan","2016",1,2000,176,0.00568181818181818
"Myripristis murdjan","2022",1,3000,70,0.0142857142857143
"Myripristis murdjan","2023",4,20000,576,0.00694444444444444
"Naso Lopezi","2022",80,242000,326,0.245398773006135
"Naso Lopezi","2023",36,108000,847,0.0425029515938607
"Naso elegans","2013",3,32500,392,0.0076530612244898
"Naso elegans","2016",2,40000,262,0.00763358778625954
"Naso elegans","2017",35,163000,431,0.0812064965197216
"Naso lituratus","2012",219,757632.142857143,1540,0.142207792207792
"Naso lituratus","2013",1821,6923748.53228963,2234,0.815129811996419
"Naso lituratus","2015",277,1133000,669,0.414050822122571
"Naso lituratus","2016",887,3208000,2087,0.425011978917106
"Naso lituratus","2017",648,3032172.48908297,1130,0.573451327433628
"Naso lituratus","2018",244,1422500,1423,0.171468728039353
"Naso lituratus","2019",140,751500,842,0.166270783847981
"Naso lituratus","2022",776,5930000,389,1.99485861182519
"Naso lituratus","2023",773,3139000,1525,0.506885245901639
"Naso unicornis","2016",81,213000,1711,0.0473407364114553
"Naso unicornis","2018",144,209000,1248,0.115384615384615
"Naso unicornis","2019",72,94000,764,0.0942408376963351
"Naso unicornis","2022",60,240000,128,0.46875
"Naso unicornis","2023",46,184000,1194,0.0385259631490787
"Naso vlamingii","2022",245,1560000,377,0.649867374005305
"Naso vlamingii","2023",50,244500,1085,0.0460829493087558
"Nemateleotris magnifica","2012",41,323659.090909091,1356,0.03023598820059
"Nemateleotris magnifica","2015",7,50000,533,0.0131332082551595
"Nemateleotris magnifica","2016",17,116000,1575,0.0107936507936508
"Nemateleotris magnifica","2017",15,120500,731,0.0205198358413133
"Nemateleotris magnifica","2018",16,149000,907,0.0176405733186329
"Nemateleotris magnifica","2019",53,391600,712,0.074438202247191
"Nemateleotris magnifica","2022",56,896000,177,0.31638418079096
"Nemateleotris magnifica","2023",15,144000,832,0.0180288461538462
"Neoglyphidodon crossi","2012",44,44000,890,0.049438202247191
"Neoglyphidodon crossi","2013",5878,5911370.86776859,1809,3.24930901050304
"Neoglyphidodon crossi","2015",15,17000,285,0.0526315789473684
"Neoglyphidodon crossi","2016",1037,1310050,1495,0.693645484949833
"Neoglyphidodon crossi","2017",769,897000,657,1.17047184170472
"Neoglyphidodon crossi","2018",293,427000,1282,0.228549141965679
"Neoglyphidodon crossi","2019",70,71000,842,0.0831353919239905
"Neoglyphidodon crossi","2022",377,1106500,311,1.21221864951768
"Neoglyphidodon crossi","2023",146,267500,1190,0.122689075630252
"Neoglyphidodon melas","2012",2,3000,289,0.0069204152249135
"Neoglyphidodon melas","2013",485,299000,2097,0.231282784930854
"Neoglyphidodon melas","2015",1,1000,99,0.0101010101010101
"Neoglyphidodon melas","2016",18,20000,866,0.0207852193995381
"Neoglyphidodon melas","2017",1,1000,117,0.00854700854700855
"Neoglyphidodon melas","2018",6,7500,336,0.0178571428571429
"Neoglyphidodon melas","2022",22,55000,144,0.152777777777778
"Neoglyphidodon melas","2023",1,2000,172,0.00581395348837209
"Neoglyphidodon nigroris","2012",4,5000,591,0.00676818950930626
"Neoglyphidodon nigroris","2013",35,38062.5,604,0.0579470198675497
"Neoglyphidodon nigroris","2015",1,2000,50,0.02
"Neoglyphidodon nigroris","2016",21,23000,993,0.0211480362537764
"Neoglyphidodon nigroris","2018",95,118000,1062,0.0894538606403013
"Neoglyphidodon nigroris","2019",20,21000,666,0.03003003003003
"Neoglyphidodon nigroris","2022",45,135000,210,0.214285714285714
"Neoglyphidodon nigroris","2023",4,10000,471,0.00849256900212314
"Neoglyphidodon oxyodon","2022",23,57500,150,0.153333333333333
"Neoniphon argenteus","2013",51,38500,1774,0.0287485907553551
"Neopenrolisthes maculata","2012",54,60411.2903225807,661,0.0816944024205749
"Neopenrolisthes maculata","2013",572,472496.74556213,2234,0.25604297224709
"Neopenrolisthes maculata","2016",120,139000,2087,0.0574988021082894
"Neopenrolisthes maculata","2018",68,79000,1423,0.0477863668306395
"Neopenrolisthes maculata","2019",81,81000,842,0.0961995249406176
"Neopetrolisthes ohshimai","2022",114,340500,311,0.366559485530547
"Neopetrolisthes ohshimai","2023",20,55000,1190,0.0168067226890756
"Neopomacentrus bankieri","2012",13,81666.6666666667,377,0.0344827586206897
"Neopomacentrus nemurus","2016",20,10000,271,0.0738007380073801
"Novaculichthys taeniourus","2012",3,6000,489,0.00613496932515337
"Novaculichthys taeniourus","2013",4,7500,571,0.00700525394045534
"Novaculichthys taeniourus","2015",1,7500,158,0.00632911392405063
"Novaculichthys taeniourus","2017",69,245250,902,0.0764966740576497
"Novaculichthys taeniourus","2018",131,525500,1423,0.0920590302178496
"Novaculichthys taeniourus","2019",35,105000,721,0.0485436893203883
"Novaculichthys taeniourus","2022",132,577500,381,0.346456692913386
"Novaculichthys taeniourus","2023",252,800989.135869565,1525,0.165245901639344
"Octopus cyanea","2022",1,3000,41,0.024390243902439
"Odontodactylus scyllarus","2012",58,114944.444444444,661,0.0877458396369138
"Odontodactylus scyllarus","2013",43,100500,1621,0.02652683528686
"Odontodactylus scyllarus","2016",53,131000,1970,0.0269035532994924
"Odontodactylus scyllarus","2018",144,359500,1423,0.101194659170766
"Odontodactylus scyllarus","2019",138,341000,842,0.163895486935867
"Odontodactylus scyllarus","2022",2,5000,66,0.0303030303030303
"Odonus niger","2012",229,437250,1255,0.182470119521912
"Odonus niger","2013",1015,1608564.43298969,2097,0.484024797329518
"Odonus niger","2015",192,358500,677,0.283604135893648
"Odonus niger","2016",2906,4794250,1970,1.4751269035533
"Odonus niger","2017",1178,2262000,1130,1.04247787610619
"Odonus niger","2018",802,1655000,1319,0.608036391205459
"Odonus niger","2019",168,331000,842,0.199524940617577
"Odonus niger","2022",43,213083.333333333,266,0.161654135338346
"Odonus niger","2023",105,334396.666666667,1359,0.0772626931567329
"Opistognathus randalli","2022",200,6e+05,210,0.952380952380952
"Opistognathus scops","2022",31,93000,126,0.246031746031746
"Ostracion cubicus","2012",41,313695.652173913,848,0.0483490566037736
"Ostracion cubicus","2013",3,20000,676,0.00443786982248521
"Ostracion cubicus","2022",28,252000,180,0.155555555555556
"Ostracion cubicus","2023",5,19000,650,0.00769230769230769
"Ostracion meleagris","2012",51,285500,661,0.0771558245083207
"Ostracion meleagris","2022",42,376000,210,0.2
"Ostracion meleagris","2023",72,576000,1123,0.0641139804096171
"Ostracion solorensis","2013",106,442375,2055,0.0515815085158151
"Ostracion solorensis","2015",42,366000,628,0.0668789808917197
"Ostracion solorensis","2016",67,527000,1973,0.0339584389254942
"Ostracion solorensis","2017",119,807000,1049,0.113441372735939
"Ostracion solorensis","2018",880,5355000,1423,0.61841180604357
"Ostracion solorensis","2019",355,2013000,842,0.421615201900238
"Oxycirrhites typus","2016",19,211000,1252,0.0151757188498403
"Oxycirrhites typus","2018",6,90000,497,0.0120724346076459
"Oxymetopon cyanoctenosum","2023",1,6000,187,0.0053475935828877
"Oxymonacanthus longirostris","2012",24,42000,897,0.0267558528428094
"Oxymonacanthus longirostris","2015",6,16000,284,0.0211267605633803
"Oxymonacanthus longirostris","2016",6,10500,511,0.0117416829745597
"Oxymonacanthus longirostris","2017",10,28000,483,0.020703933747412
"Oxymonacanthus longirostris","2018",16,40000,685,0.0233576642335766
"Oxymonacanthus longirostris","2019",1,2000,135,0.00740740740740741
"Oxymonacanthus longirostris","2022",10,50000,99,0.101010101010101
"Oxymonacanthus longirostris","2023",9,33000,704,0.0127840909090909
"Paguristes species","2022",1190,4801500,251,4.74103585657371
"Paguristes species","2023",976,3904000,1227,0.795436022819886
"Panulirus versicolor","2012",20,48692.3076923077,723,0.0276625172890733
"Panulirus versicolor","2013",85,136750,2016,0.0421626984126984
"Paracanthurus hepatus","2012",9,55000,745,0.0120805369127517
"Paracanthurus hepatus","2015",5,225000,378,0.0132275132275132
"Paracanthurus hepatus","2016",25,370000,1021,0.0244857982370225
"Paracanthurus hepatus","2017",5,220000,280,0.0178571428571429
"Paracanthurus hepatus","2018",2,30000,306,0.0065359477124183
"Paracanthurus hepatus","2019",6,106000,565,0.0106194690265487
"Paracanthurus hepatus","2022",216,16074166.6666667,347,0.622478386167147
"Paracanthurus hepatus","2023",22,459325.555555556,924,0.0238095238095238
"Paracentropyge multifasciatus","2012",1,3000,53,0.0188679245283019
"Parachaetodon ocellatus","2022",4,14000,107,0.0373831775700935
"Paracheilinus carpenteri","2022",701,2172500,351,1.997150997151
"Paracheilinus carpenteri","2023",410,627000,1407,0.291400142146411
"Paracheilinus filamentosus","2022",18,62500,72,0.25
"Paracheilinus mccoskeri","2012",629,699866.666666667,838,0.750596658711217
"Paracheilinus mccoskeri","2013",2153,2915255.81395349,2171,0.991708889912483
"Paracheilinus mccoskeri","2016",5059,6310500,2087,2.42405366554863
"Paracheilinus mccoskeri","2018",655,789000,1372,0.477405247813411
"Paracheilinus mccoskeri","2019",487,496000,842,0.578384798099763
"Paracirrhites arcatus","2012",651,724168.47826087,1572,0.41412213740458
"Paracirrhites arcatus","2013",223,282250,1699,0.131253678634491
"Paracirrhites arcatus","2022",12,38000,221,0.0542986425339367
"Paracirrhites arcatus","2023",26,78000,956,0.0271966527196653
"Paracirrhites arcuatus","2015",43,64000,727,0.0591471801925722
"Paracirrhites arcuatus","2016",181,191000,2087,0.0867273598466699
"Paracirrhites arcuatus","2017",142,155500,1049,0.13536701620591
"Paracirrhites arcuatus","2018",354,364500,1423,0.2487702037948
"Paracirrhites arcuatus","2019",263,265500,842,0.312351543942993
"Paracirrhites forsteri","2022",9,22500,130,0.0692307692307692
"Paracirrhites forsteri","2023",8,20000,556,0.0143884892086331
"Paraglyphidodon melas","2012",39,318843.75,848,0.0459905660377358
"Paragobiodon echinocephalus","2012",1631,1100750,848,1.92334905660377
"Paraluteres prionurus","2022",214,642000,389,0.55012853470437
"Paraluteres prionurus","2023",226,678000,1438,0.157162726008345
"Paramonacanthus filicauda","2022",78,156000,292,0.267123287671233
"Paramonacanthus filicauda","2023",68,136000,843,0.0806642941874259
"Parapercis schauinslandi","2022",8,24000,66,0.121212121212121
"Parapercis schuinslandi","2016",378,347250,2087,0.181121226641112
"Parapercis schuinslandi","2018",117,175500,1322,0.0885022692889561
"Parapercis schuinslandi","2019",19,37500,479,0.0396659707724426
"Parupeneus cyclostomus","2012",26,56613.6363636364,1409,0.0184528034066714
"Parupeneus cyclostomus","2013",11,19500,604,0.0182119205298013
"Parupeneus cyclostomus","2015",1,2500,84,0.0119047619047619
"Parupeneus cyclostomus","2016",11,26250,1052,0.0104562737642586
"Parupeneus cyclostomus","2017",6,15000,544,0.0110294117647059
"Parupeneus cyclostomus","2018",5,19000,449,0.0111358574610245
"Parupeneus cyclostomus","2022",11,55000,79,0.139240506329114
"Parupeneus cyclostomus","2023",2,10000,282,0.00709219858156028
"Parupeneus multifasciatus","2022",6,12000,72,0.0833333333333333
"Parupeneus multifasciatus","2023",5,10000,470,0.0106382978723404
"Parupeneus rubescens","2012",228,383750.986842105,1456,0.156593406593407
"Parupeneus rubescens","2013",39,28950,1984,0.0196572580645161
"Parupeneus rubescens","2015",17,13500,378,0.044973544973545
"Parupeneus rubescens","2016",65,49500,1692,0.0384160756501182
"Parupeneus rubescens","2017",29,29000,688,0.0421511627906977
"Parupeneus rubescens","2018",14,27500,465,0.0301075268817204
"Pentapodus nemurus","2022",24,72000,60,0.4
"Percnon gibbesi","2023",1,2000,187,0.0053475935828877
"Periclimenes brevicarpalis","2012",21,21000,523,0.0401529636711281
"Periclimenes brevicarpalis","2013",537,469145.104895105,2234,0.240376007162041
"Periclimenes brevicarpalis","2016",55,60000,1970,0.0279187817258883
"Periclimenes brevicarpalis","2018",50,56500,1352,0.0369822485207101
"Periclimenes brevicarpalis","2019",59,58100,842,0.0700712589073634
"Periclimenes brevicarpalis","2022",201,497000,268,0.75
"Periclimenes brevicarpalis","2023",6,9000,584,0.0102739726027397
"Pervagor Janthinosoma","2016",69,95000,1995,0.0345864661654135
"Pervagor Janthinosoma","2018",21,24500,967,0.0217166494312306
"Pervagor Janthinosoma","2019",95,129000,764,0.12434554973822
"Pervagor janthinosoma","2012",20,33295.4545454545,661,0.0302571860816944
"Pervagor janthinosoma","2013",70,134160.714285714,1757,0.0398406374501992
"Pervagor janthinosoma","2022",32,49500,143,0.223776223776224
"Pervagor janthinosoma","2023",173,319000,1490,0.116107382550336
"Pervagor melanocephalus","2019",2,3000,179,0.0111731843575419
"Pervagor melanosoma","2022",82,318000,271,0.302583025830258
"Pervagor melanosoma","2023",11,33000,611,0.0180032733224223
"Plagiotremus laudandus","2012",49,51666.6666666667,671,0.0730253353204173
"Plagiotremus laudandus","2013",112,117600,1982,0.0565085771947528
"Plagiotremus ludandus","2016",310,358500,2087,0.148538572113081
"Plagiotremus ludandus","2018",388,500750,1319,0.294162244124337
"Plagiotremus ludandus","2019",395,439500,842,0.469121140142518
"Plagiotremus rhinorhynchos","2022",150,3e+05,210,0.714285714285714
"Plagiotremus rhinorhynchos","2023",2,4000,216,0.00925925925925926
"Platax orbicularis","2012",8,12000,197,0.0406091370558376
"Platax orbicularis","2018",2,4000,182,0.010989010989011
"Platax orbicularis","2022",64,413384.615384615,237,0.270042194092827
"Platax pinnatus","2013",5,52500,739,0.006765899864682
"Platax pinnatus","2016",2,31000,222,0.00900900900900901
"Platax pinnatus","2019",9,180000,179,0.0502793296089385
"Platax pinnatus","2022",38,1900000,180,0.211111111111111
"Platax teira","2012",17,51250,311,0.0546623794212219
"Platax teira","2013",55,486000,1652,0.0332929782082324
"Platax teira","2022",15,101000,167,0.0898203592814371
"Platax tiera","2015",1,3000,50,0.02
"Platax tiera","2016",6,13000,490,0.0122448979591837
"Platax tiera","2017",1,2000,84,0.0119047619047619
"Plectorhinchus chaetodonoides","2015",3,4500,99,0.0303030303030303
"Plectorhinchus chaetodonoides","2016",39,86500,1973,0.0197668525088697
"Plectorhinchus chaetodonoides","2017",7,19500,548,0.0127737226277372
"Plectorhinchus chaetodonoides","2018",20,69500,968,0.0206611570247934
"Plectorhinchus chaetodonoides","2019",19,68500,842,0.0225653206650831
"Plectorhinchus chaetodonoides","2022",100,1189000,308,0.324675324675325
"Plectorhinchus chaetodonoides","2023",16,46000,1016,0.015748031496063
"Plectorhinchus chaetonoides","2012",2,9000,250,0.008
"Plectorhinchus diagrammus","2012",41,226562.5,1164,0.0352233676975945
"Plectorhinchus diagrammus","2013",153,164783.333333333,1702,0.0898942420681551
"Plectorhinchus diagrammus","2022",22,86000,150,0.146666666666667
"Plectorhinchus diagrammus","2023",13,15520.25,1170,0.0111111111111111
"Plectorhinchus orientalis","2012",135,264041.666666667,1572,0.0858778625954199
"Plectorhinchus orientalis","2015",17,31000,451,0.0376940133037694
"Plectorhinchus orientalis","2016",323,613000,2087,0.154767609008146
"Plectorhinchus orientalis","2017",158,320057.692307692,1130,0.139823008849558
"Plectorhinchus orientalis","2018",100,238000,1159,0.0862812769628991
"Plectorhinchus orientalis","2019",86,2e+05,842,0.102137767220903
"Plectorhinchus orientalis","2022",177,816566.037735849,369,0.479674796747967
"Plectorhinchus orientalis","2023",509,744612.000000002,1525,0.333770491803279
"Plectorhinchus pictus","2012",1,4000,189,0.00529100529100529
"Plectorhinchus pictus","2013",123,213711.538461538,1669,0.0736968244457759
"Plectorhinchus pictus","2016",1,5000,240,0.00416666666666667
"Plectorhinchus pictus","2017",2,13000,173,0.0115606936416185
"Plectorhinchus pictus","2018",2,10000,296,0.00675675675675676
"Plectorhincus diagrammus","2016",52,78000,1396,0.0372492836676218
"Plectorhincus diagrammus","2018",32,46000,1057,0.0302743614001892
"Plectorhincus diagrammus","2019",54,81500,842,0.0641330166270784
"Plectranthias inermis","2022",78,1365000,107,0.728971962616822
"Plectroglyphidodon dickii","2022",2,3000,71,0.028169014084507
"Plectroglyphidodon dickii","2023",15,22500,933,0.0160771704180064
"Plectroglyphidodon lacrymatus","2022",11,16500,167,0.0658682634730539
"Plectroglyphidodon lacrymatus","2023",11,16500,902,0.0121951219512195
